italy;serie-a;ITA1;20
italy;serie-b;ITA2;20
france;ligue-1;FRA1;20
france;ligue-2;FRA2;20
england;premier-league;ENG1;20
england;championship;ENG2;24
spain;laliga;SPA1;20
spain;laliga2;SPA2;22
germany;bundesliga;GER1;18
germany;2-bundesliga;GER2;18
europe;champions-league;EUR1;32
europe;europa-league;EUR2;48
netherlands;eredivisie;OLA1;18
netherlands;eerste-divisie;OLA2;20
austria;tipico-bundesliga;AUS1;12
austria;2-liga;AUS2;16
switzerland;super-league;SWI1;10
brazil;serie-a;BRA1;20
russia;premier-league;RUS1;16
portugal;primeira-liga;POR1;18
belgium;jupiler-league;BEL1;18
turkey;1-lig;TUR1;18
denmark;superliga;DAN1;12
norway;eliteserien;NOR1;16
romania;liga-1;ROM1;16
ukraine;premier-league;UKR1;14
greece;super-league;GRE1;14
hungary;otp-bank-liga;HUN1;12
ireland;premier-division;IRE1;10
israel;ligat-ha-al;ISR1;14
czech-republic;1-liga;CZE1;18
scotland;premiership;SCO1;12
cyprus;first-division;CYP1;14
serbia;super-liga;SER1;20
austria;ofb-cup;AUSC;11
belgium;belgian-cup;BELC;20
malta;premier-league;MAL1;16
poland;ekstraklasa;POL1;16
italy;coppa-italia;ITAC;17
germany;dfb-pokal;GERC;15
england;efl-cup;ENGC1;10
england;fa-cup;ENGC2;25

